No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
1,Alexander,Chip,Raleigh News & Observer,"Mathew Barzal, New York Islanders","Mikhail Sergachev, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes","Nico Hischier, New Jersey Devils","Will Butcher, New Jersey Devils"
2,Allen,Kevin,USA Today,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets"
3,Anderson,Shelly,The Hockey News,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Nico Hischier, New Jersey Devils"
4,Anderson,Kristen,Calgary Herald,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Nico Hischier, New Jersey Devils","Jake DeBrusk, Boston Bruins"
5,Basu,Arpon,The Athletic / Athletique,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins","Pierre-Luc Dubois, Columbus Blue Jackets","Brock Boeser, Vancouver Canucks"
6,Bell,Jason,Winnipeg Free Press,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning"
7,Bernier,Jonathan,Le Journal de Montreal,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning","Alex DeBrincat, Chicago Blackhawks"
8,Bernstein,Dennis,The Fourth Period,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning"
9,Bjurman,Per,Aftonbladet,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets"
10,Bombulie,Jonathan,Pittsburgh Tribune-Review,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Will Butcher, New Jersey Devils","Yanni Gourde, Tampa Bay Lightning"
11,Botchford,Jason,The Province,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins"
12,Bourne,Justin,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning","Pierre-Luc Dubois, Columbus Blue Jackets"
13,Brassard,Marc,Le Droit,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning"
14,Brennan,Don,Ottawa Sun,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Pierre-Luc Dubois, Columbus Blue Jackets"
15,Brooks,Larry,New York Post,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Nico Hischier, New Jersey Devils","Yanni Gourde, Tampa Bay Lightning"
16,Brough,Jason,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins","Kyle Connor, Winnipeg Jets"
17,Button,Craig,TSN,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
18,Campbell,Ken,The Hockey News,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets","Alex DeBrincat, Chicago Blackhawks"
19,Carchidi,Sam,Philadelphia Inquirer,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes"
20,Carp,Steve,Las Vegas Review-Journal,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Nico Hischier, New Jersey Devils","Charlie McAvoy, Boston Bruins"
21,Carter,Anson,NBCSN,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Alex DeBrincat, Chicago Blackhawks","Nico Hischier, New Jersey Devils","Brock Boeser, Vancouver Canucks"
22,Cerny,Jim,The Sporting News,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes"
23,Chambers,Mike,Denver Post,"Mathew Barzal, New York Islanders","Alex DeBrincat, Chicago Blackhawks","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Will Butcher, New Jersey Devils"
24,Chaumont,Jean-Francois,Le Journal de Montreal,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Nico Hischier, New Jersey Devils"
25,Clipperton,Joshua,The Canadian Press,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins"
26,Cohen,Russ,Sportsology,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Will Butcher, New Jersey Devils","Charlie McAvoy, Boston Bruins"
27,Colageo,Mick,New Bedford Standard-Times,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning"
28,Conroy,Stephen,Boston Herald,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Nico Hischier, New Jersey Devils"
29,Custance,Craig,The Athletic,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Pierre-Luc Dubois, Columbus Blue Jackets"
30,Cuthbert,Chris,TSN / NBC,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Nico Hischier, New Jersey Devils"
31,Dater,Adrian,BSN Denver,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning"
32,De Foy,Marc,Le Journal de Montreal,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Nico Hischier, New Jersey Devils","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning"
33,DeCock,Luke,Raleigh News & Observer,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Nico Hischier, New Jersey Devils","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes"
34,DeFranks,Matthew,South Florida Sun-Sentinel,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning"
35,Diamond,Jim,The Associated Press,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning"
36,Dietz,John,Arlington Daily Herald,"Brock Boeser, Vancouver Canucks","Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins","Alex DeBrincat, Chicago Blackhawks"
37,Dixon,Ryan,Sportsnet,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Pierre-Luc Dubois, Columbus Blue Jackets","Nico Hischier, New Jersey Devils"
38,Dreger,Darren,TSN,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins"
39,Dryden,Steve,TSN,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
40,Duhatschek,Eric,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
41,El-Bashir,Tarik,NBC Sports Washington,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes"
42,Engels,Eric,Sportsnet,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning"
43,Erlendsson,Erik,LightningInsider.com,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes","Nico Hischier, New Jersey Devils"
