No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
1,Alexander,Chip,Raleigh News & Observer,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Alex Ovechkin, Washington Capitals","Connor McDavid, Edmonton Oilers"
2,Allen,Kevin,USA Today,"Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers",Evgeni Malkin. Pittsburgh Penguins
3,Anderson,Shelly,The Hockey News,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils",Evgeni Malkin. Pittsburgh Penguins,"Nikita Kucherov, Tampa Bay Lightning","Anze Kopitar, Los Angeles Kings"
4,Anderson,Kristen,Calgary Herald,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers","Blake Wheeler, Winnipeg Jets"
5,Basu,Arpon,The Athletic / Athletique,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
6,Bell,Jason,Winnipeg Free Press,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers","Nikita Kucherov, Tampa Bay Lightning"
7,Bernier,Jonathan,Le Journal de Montreal,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets","Claude Giroux, Philadelphia Flyers"
8,Bernstein,Dennis,The Fourth Period,"Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning"
9,Bjurman,Per,Aftonbladet,"Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Connor Hellebuyck, Winnipeg Jets","Alex Ovechkin, Washington Capitals"
10,Bombulie,Jonathan,Pittsburgh Tribune-Review,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche",Evgeni Malkin. Pittsburgh Penguins,"Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
11,Botchford,Jason,The Province,"Connor McDavid, Edmonton Oilers","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils","Nikita Kucherov, Tampa Bay Lightning"
12,Bourne,Justin,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers"
13,Brassard,Marc,Le Droit,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
14,Brennan,Don,Ottawa Sun,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings"
15,Brooks,Larry,New York Post,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Eric Staal, Minnesota Wild"
16,Brough,Jason,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
17,Button,Craig,TSN,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
18,Campbell,Ken,The Hockey News,"Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Alex Ovechkin, Washington Capitals"
19,Carchidi,Sam,Philadelphia Inquirer,"Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
20,Carp,Steve,Las Vegas Review-Journal,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Nikita Kucherov, Tampa Bay Lightning","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
21,Carter,Anson,NBCSN,"Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Alex Ovechkin, Washington Capitals","Nikita Kucherov, Tampa Bay Lightning"
22,Cerny,Jim,The Sporting News,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
23,Chambers,Mike,Denver Post,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
24,Chaumont,Jean-Francois,Le Journal de Montreal,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets"
25,Clipperton,Joshua,The Canadian Press,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Nikita Kucherov, Tampa Bay Lightning","Claude Giroux, Philadelphia Flyers"
26,Cohen,Russ,Sportsology,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
27,Colageo,Mick,New Bedford Standard-Times,"Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets","Nikita Kucherov, Tampa Bay Lightning"
28,Conroy,Stephen,Boston Herald,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets","Alex Ovechkin, Washington Capitals"
29,Custance,Craig,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
30,Cuthbert,Chris,TSN / NBC,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
31,Dater,Adrian,BSN Denver,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers",Evgeni Malkin. Pittsburgh Penguins
32,De Foy,Marc,Le Journal de Montreal,Evgeni Malkin. Pittsburgh Penguins,"Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers","Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils"
33,DeCock,Luke,Raleigh News & Observer,"Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
