No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
1,Alexander,Chip,Raleigh News & Observer,"Aleksander Barkov, Florida Panthers","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Auston Matthews, Toronto Maple Leafs","Claude Giroux, Philadelphia Flyers"
2,Allen,Kevin,USA Today,"Logan Couture, San Jose Sharks","Henrik Zetterberg, Detroit Red Wings","Jared Spurgeon, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Ryan O'Reilly, Buffalo Sabres"
3,Anderson,Shelly,The Hockey News,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Ryan O'Reilly, Buffalo Sabres"
4,Anderson,Kristen,Calgary Herald,"Ryan O'Reilly, Buffalo Sabres","Tobias Rieder, Los Angeles Kings","Joakim Nordstrom, Carolina Hurricanes","Alex DeBrincat, Chicago Blackhawks","Jason Pominville, Buffalo Sabres"
5,Basu,Arpon,The Athletic / Athletique,"Marc-Edouard Vlasic, San Jose Sharks","Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers"
6,Bell,Jason,Winnipeg Free Press,"Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Johnny Gaudreau, Calgary Flames","Connor McDavid, Edmonton Oilers"
7,Bernier,Jonathan,Le Journal de Montreal,"Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","Roberto Luongo, Florida Panthers","Anze Kopitar, Los Angeles Kings","Marc-Edouard Vlasic, San Jose Sharks"
8,Bernstein,Dennis,The Fourth Period,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Marc-Edouard Vlasic, San Jose Sharks","Aleksander Barkov, Florida Panthers"
9,Bjurman,Per,Aftonbladet,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings","Alex DeBrincat, Chicago Blackhawks"
10,Bombulie,Jonathan,Pittsburgh Tribune-Review,"Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Marc-Edouard Vlasic, San Jose Sharks","Henrik Zetterberg, Detroit Red Wings"
11,Botchford,Jason,The Province,"Marc-Edouard Vlasic, San Jose Sharks","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Henrik Zetterberg, Detroit Red Wings"
12,Bourne,Justin,The Athletic,"Anze Kopitar, Los Angeles Kings","Auston Matthews, Toronto Maple Leafs","Alex Pietrangelo, St. Louis Blues","Marc-Edouard Vlasic, San Jose Sharks","Connor McDavid, Edmonton Oilers"
13,Brassard,Marc,Le Droit,"Ryan O'Reilly, Buffalo Sabres","Marc-Edouard Vlasic, San Jose Sharks","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Alex DeBrincat, Chicago Blackhawks"
14,Brennan,Don,Ottawa Sun,"William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","Alex DeBrincat, Chicago Blackhawks","Aleksander Barkov, Florida Panthers"
