No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
1,Alexander,Chip,Raleigh News & Observer,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets"
2,Allen,Kevin,USA Today,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Klingberg, Dallas Stars"
3,Anderson,Shelly,The Hockey News,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets","Alex Pietrangelo, St. Louis. Blues"
4,Anderson,Kristen,Calgary Herald,"Brent Burns, San Jose Sharks","Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals","Roman Josi, Nashville Predators"
5,Basu,Arpon,The Athletic / Athletique,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets","Alex Pietrangelo, St. Louis. Blues"
6,Bell,Jason,Winnipeg Free Press,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars","Roman Josi, Nashville Predators"
7,Bernier,Jonathan,Le Journal de Montreal,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Josh Manson, Anaheim Ducks"
8,Bernstein,Dennis,The Fourth Period,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
9,Bjurman,Per,Aftonbladet,"Victor Hedman, Tampa Bay Lightning","John Klingberg, Dallas Stars","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets"
10,Bombulie,Jonathan,Pittsburgh Tribune-Review,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Shayne Gostisbehere, Philadelphia Flyers","Roman Josi, Nashville Predators","Seth Jones, Columbus Blue Jackets"
11,Botchford,Jason,The Province,"PK Subban, Nashville Predators","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings"
12,Bourne,Justin,The Athletic,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Marc-Edouard Vlasic, San Jose Sharks","Roman Josi, Nashville Predators"
13,Brassard,Marc,Le Droit,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","John Klingberg, Dallas Stars"
14,Brennan,Don,Ottawa Sun,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
15,Brooks,Larry,New York Post,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","John Carlson, W ashington Capitals"
16,Brough,Jason,The Athletic,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
17,Button,Craig,TSN,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators","PK Subban, Nashville Predators"
18,Campbell,Ken,The Hockey News,"PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals"
19,Carchidi,Sam,Philadelphia Inquirer,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Shayne Gostisbehere, Philadelphia Flyers","John Klingberg, Dallas Stars"
20,Carp,Steve,Las Vegas Review-Journal,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Klingberg, Dallas Stars","John Carlson, W ashington Capitals"
