No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
1,Alexander,Chip,Raleigh News & Observer,"Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Mikko Koivu, Minnesota Wild","Joe Pavelski, San Jose Sharks","Jordan Staal, Carolina Hurricanes"
2,Allen,Kevin,USA Today,"Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Sidney Crosby, Pittsburgh Penguins"
3,Anderson,Shelly,The Hockey News,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Mikko Koivu, Minnesota Wild"
4,Anderson,Kristen,Calgary Herald,"Patrice Bergeron, Boston Bruins","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Mikko Koivu, Minnesota Wild"
5,Basu,Arpon,The Athletic / Athletique,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Mikko Koivu, Minnesota Wild","Ryan O'Reilly, Buffalo Sabres"
6,Bell,Jason,Winnipeg Free Press,"Anze Kopitar, Los Angeles Kings","Mikko Koivu, Minnesota Wild","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers"
7,Bernier,Jonathan,Le Journal de Montreal,"Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers"
8,Bernstein,Dennis,The Fourth Period,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Mikko Koivu, Minnesota Wild"
9,Bjurman,Per,Aftonbladet,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights"
10,Bombulie,Jonathan,Pittsburgh Tribune-Review,"Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Mikko Koivu, Minnesota Wild"
11,Botchford,Jason,The Province,"Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Patrice Bergeron, Boston Bruins"
12,Bourne,Justin,The Athletic,"Patrice Bergeron, Boston Bruins","Radek Faksa, Dallas Stars","Sean Couturier, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights"
13,Brassard,Marc,Le Droit,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Sidney Crosby, Pittsburgh Penguins"
14,Brennan,Don,Ottawa Sun,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Sidney Crosby, Pittsburgh Penguins","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers"
15,Brooks,Larry,New York Post,"Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Mikko Koivu, Minnesota Wild"
16,Brough,Jason,The Athletic,"Anze Kopitar, Los Angeles Kings","Patrice Bergeron, Boston Bruins","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","William Karlsson, Vegas Golden Knights"
17,Button,Craig,TSN,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","Aleksander Barkov, Florida Panthers","Patrice Bergeron, Boston Bruins","Brayden Point, Tampa Bay Lightning"
18,Campbell,Ken,The Hockey News,"Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins","Anze Kopitar, Los Angeles Kings","Radek Faksa, Dallas Stars"
19,Carchidi,Sam,Philadelphia Inquirer,"Anze Kopitar, Los Angeles Kings","Sean Couturier, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Jonathan Marchessault, Vegas Golden Knights",Brad Marchand. Boston Bruins
20,Carp,Steve,Las Vegas Review-Journal,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Sean Couturier, Philadelphia Flyers","Patrice Bergeron, Boston Bruins"
