player,TEAM,GP,G,A,PTS,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
MATHEW.BARZAL,NYI,82,22,63,85,30,1.04,170,12.9,4,5,22,0,0
CLAYTON.KELLER,ARI,82,23,42,65,24,0.79,212,10.8,3,6,14,0,1
YANNI.GOURDE,TB,82,25,39,64,50,0.78,136,18.4,5,7,6,1,1
KYLE.CONNOR,WPG,76,31,26,57,16,0.75,192,16.1,7,7,4,0,0
BROCK.BOESER,VAN,62,29,26,55,16,0.89,179,16.2,4,10,13,0,0
ALEX.DEBRINCAT,CHI,82,28,24,52,6,0.63,181,15.5,1,6,6,0,0
NICO.HISCHIER,NJ,82,20,32,52,26,0.63,180,11.1,2,1,5,0,0
PIERRE-LUC.DUBOIS,CBJ,82,20,28,48,49,0.59,165,12.1,4,6,9,0,0
DANTON.HEINEN,BOS,77,16,31,47,16,0.61,135,11.9,4,2,10,1,0
WILL.BUTCHER,NJ,81,5,39,44,8,0.54,88,5.7,1,3,20,0,0
ALEXANDER.KERFOOT,COL,79,19,24,43,28,0.54,81,23.5,0,5,12,0,0
JAKE.DEBRUSK,BOS,70,16,27,43,19,0.61,143,11.2,5,2,7,0,0
MIKHAIL.SERGACHEV,TB,79,9,31,40,38,0.51,141,6.4,5,3,13,0,0
ADRIAN.KEMPE,LA,81,16,21,37,49,0.46,119,13.4,3,1,4,0,0
ALEX.TUCH,VGS,78,15,22,37,27,0.47,171,8.8,4,4,6,0,0
JESPER.BRATT,NJ,74,13,22,35,18,0.47,100,13,2,4,8,1,1
CHRISTIAN.FISCHER,ARI,79,15,18,33,14,0.42,154,9.7,3,5,3,0,0
RYAN.PULOCK,NYI,68,10,22,32,14,0.47,184,5.4,0,5,6,0,0
CHARLIE.MCAVOY,BOS,63,7,25,32,53,0.51,77,9.1,2,2,5,0,0
NOLAN.PATRICK,PHI,73,13,17,30,30,0.41,127,10.2,2,5,3,0,0
CHARLES.HUDON,MTL,72,10,20,30,38,0.42,179,5.6,1,3,5,0,1
JAKUB.VRANA,WSH,73,13,14,27,12,0.37,133,9.8,2,1,2,0,0
MARK.JANKOWSKI,CGY,72,17,8,25,33,0.35,118,14.4,3,2,1,2,0
BLAKE.COLEMAN,NJ,79,13,12,25,50,0.32,146,8.9,2,0,0,3,0
MARTIN.FRK,DET,68,11,14,25,14,0.37,99,11.1,0,5,4,0,0
THOMAS.CHABOT,OTT,63,9,16,25,14,0.4,94,9.6,0,0,8,0,0
ALEX.IAFALLO,LA,75,9,16,25,12,0.33,129,7,1,0,2,0,0
TYLER.BERTUZZI,DET,48,7,17,24,39,0.5,83,8.4,1,1,1,0,0
VINCE.DUNN,STL,75,5,19,24,20,0.32,138,3.6,1,2,7,0,0
J.T..COMPHER,COL,69,13,10,23,20,0.33,131,9.9,3,4,3,2,0
SAMUEL.GIRARD,COL/NSH,73,4,19,23,8,0.32,84,4.8,0,1,12,0,0
SONNY.MILANO,CBJ,55,14,8,22,10,0.4,69,20.3,3,0,4,0,0
TYSON.JOST,COL,65,12,10,22,26,0.34,113,10.6,1,5,3,0,0
BRENDAN.LEIPSIC,VAN/VGS,58,5,17,22,14,0.38,95,5.3,1,0,0,0,0
CHANDLER.STEPHENSON,WSH,67,6,12,18,8,0.27,36,16.7,0,0,0,0,0
JOEL.ERIKSSON.EK,MIN,75,6,10,16,22,0.21,124,4.8,0,0,0,0,0
PONTUS.ABERG,EDM/NSH,53,4,12,16,10,0.3,70,5.7,3,0,1,0,0
MATT.GRZELCYK,BOS,61,3,12,15,22,0.25,82,3.7,0,0,2,0,0
SEAN.KURALY,BOS,75,6,8,14,40,0.19,134,4.5,1,0,0,0,1
REMI.ELIE,DAL,72,6,8,14,18,0.19,70,8.6,1,0,0,0,0
JACK.ROSLOVIC,WPG,31,5,9,14,2,0.45,38,13.2,1,0,0,0,0
CHRISTIAN.DJOOS,WSH,63,3,11,14,10,0.22,60,5,0,0,0,0,0
NEAL.PIONK,NYR,28,1,13,14,12,0.5,54,1.9,0,0,5,0,0
JOHN.HAYDEN,CHI,47,4,9,13,54,0.28,56,7.1,0,0,0,1,0
TRAVIS.DERMOTT,TOR,37,1,12,13,8,0.35,54,1.9,0,0,0,0,0
CONNOR.BRICKLEY,FLA,44,4,8,12,19,0.27,62,6.5,2,0,0,0,0
ANDERS.BJORK,BOS,30,4,8,12,6,0.4,30,13.3,0,2,1,0,0
DOMINIK.SIMON,PIT,33,4,8,12,16,0.36,36,11.1,0,0,0,0,0
