Player,Season,Team,GP,TOI,SA,GA,Sv_perc,xSv_perc,dSv_perc,LDSv_perc,MDSv_perc,HDSv_perc,GSAA
Aaron Dell,20172018,S.J,29,1522.08,775,67,91.35,90.77,0.58,97.51,93.13,78.65,4.51
Adam Wilcox,20172018,BUF,1,38.65,14,0,100,90.14,9.86,100,100,100,1.38
Adin Hill,20172018,ARI,4,240.75,130,14,89.23,89.02,0.22,91.67,95.12,80.49,0.28
Alexandar Georgiev,20172018,NYR,10,514.77,331,27,91.84,91.12,0.72,98.57,91.3,80.26,2.39
Alex Lyon,20172018,PHI,11,479.82,232,22,90.52,90.8,-0.28,98.8,89.47,79.63,-0.66
Alex Stalock,20172018,MIN,28,1490.27,787,71,90.98,91.73,-0.75,96.73,90.46,78.91,-5.89
Al Montoya,20172018,MTL/ EDM,13,691.73,346,37,89.31,90.41,-1.11,97.71,89.6,76.67,-3.83
Anders Nilsson,20172018,VAN,27,1463.68,850,84,90.12,90.69,-0.57,95.68,90.43,80.69,-4.83
Andrei Vasilevskiy,20172018,T.B,65,3825.18,2075,167,91.95,92.05,-0.09,97.65,91.22,79.89,-1.97
Andrew Hammond,20172018,COL,2,58.78,33,2,93.94,87.79,6.15,77.78,100,100,2.03
Anton Forsberg,20172018,CHI,35,1714.78,921,85,90.77,90.54,0.23,97.21,91.19,80.82,2.11
Anton Khudobin,20172018,BOS,31,1780.72,876,76,91.32,90.69,0.63,97.91,91.98,80.18,5.54
Antti Niemi,20172018,PIT/ MTL/ FLA,24,1213.1,710,63,91.13,90.68,0.45,98.46,91.58,78.92,3.2
Antti Raanta,20172018,ARI,47,2579.05,1378,96,93.03,91.59,1.45,97.72,93.35,82.94,19.95
Ben Bishop,20172018,DAL,53,2886.83,1434,120,91.63,91.49,0.14,96.98,90.22,83.45,1.98
Braden Holtby,20172018,WSH,54,3067.8,1648,153,90.72,90.85,-0.13,98.89,91.27,76.55,-2.16
Brandon Halverson,20172018,NYR,1,12.55,6,1,83.33,85.33,-2,100,100,50,-0.12
Brian Elliott,20172018,PHI,43,2502,1217,111,90.88,91.36,-0.48,97.8,90.71,78.11,-5.88
