"","player","season","session","position","GP","SR"
"1","5EBASTIAN.AHO","20172018","R","D",22,0.424735940960784
"2","AARON.DELL","20172018","R","G",29,6.17848194106561
"3","AARON.EKBLAD","20172018","R","D",82,3.61902512770367
"4","AARON.NESS","20172018","R","D",8,0.00392636685404074
"5","ADAM.CLENDENING","20172018","R","D",5,0.000923157075293833
"6","ADAM.CRACKNELL","20172018","R","R",5,0.00432243985863445
"7","ADAM.ERNE","20172018","R","L",23,0.592363116463192
"8","ADAM.GAUDETTE","20172018","R","C",4,0.002140988348482
"9","ADAM.HENRIQUE","20172018","R","C",81,7.35643425942485
"10","ADAM.LARSSON","20172018","R","D",63,1.20029075847084
"11","ADAM.LOWRY","20172018","R","L",44,2.40055176177062
"12","ADAM.MCQUAID","20172018","R","D",38,0.313007576306439
"13","ADAM.PELECH","20172018","R","D",78,1.36317184071392
"14","ADAM.WILCOX","20172018","R","G",1,0.0548059663345339
"15","ADIN.HILL","20172018","R","G",4,0.410788545318427
"16","ADRIAN.KEMPE","20172018","R","L",81,3.44228604559445
"17","A.J..GREER","20172018","R","L",17,0.0100301600302642
"18","ALAN.QUINE","20172018","R","C",21,0.0193152171137132
"19","ALEC.MARTINEZ","20172018","R","D",77,2.94073163359362
"20","ALEKSANDER.BARKOV","20172018","R","C",79,10.5811450781836
"21","ALES.HEMSKY","20172018","R","R",7,0.000572312390075501
"22","ALEXANDAR.GEORGIEV","20172018","R","G",10,1.95665717961698
"23","ALEX.BIEGA","20172018","R","D",42,0.397648930080183
"24","ALEX.BROADHURST","20172018","R","C",2,0.000535939717657072
"25","ALEX.BURMISTROV","20172018","R","C",23,0.443101063260966
"26","ALEX.BURROWS","20172018","R","L",71,0.792861162755003
"27","ALEX.CHIASSON","20172018","R","R",61,2.00384854894736
"28","ALEX.DEBRINCAT","20172018","R","R",81,6.32168354132883
"29","ALEX.EDLER","20172018","R","D",69,3.14476523966992
"30","ALEXEI.EMELIN","20172018","R","D",76,0.414190109554821
"31","ALEX.FORMENTON","20172018","R","L",1,7.96862504564899e-05
"32","ALEX.GALCHENYUK","20172018","R","C",82,4.34209660966508
"33","ALEX.GOLIGOSKI","20172018","R","D",76,3.43406683382616
"34","ALEX.IAFALLO","20172018","R","C",75,1.75207386749509
"35","ALEX.KERFOOT","20172018","R","C",79,3.65186756631847
"36","ALEX.KILLORN","20172018","R","C",82,4.48487676154781
"37","ALEX.LYON","20172018","R","G",11,0.937968735451632
"38","ALEX.NYLANDER","20172018","R","L",3,0.00118908280434724
"39","ALEX.OVECHKIN","20172018","R","L",82,17.1675891641163
"40","ALEX.PETROVIC","20172018","R","D",67,0.54464212617442
"41","ALEX.PIETRANGELO","20172018","R","D",78,7.37734766671416
"42","ALEX.RADULOV","20172018","R","R",82,9.29061593460897
"43","ALEX.STALOCK","20172018","R","G",28,4.86651364118901
"44","ALEX.STEEN","20172018","R","L",76,4.41354069622738
"45","ALEX.TUCH","20172018","R","R",77,4.82744139807883
"46","ALEX.WENNBERG","20172018","R","C",66,3.03017003020783
"47","AL.MONTOYA","20172018","R","G",13,1.08906341473216
"48","ANDERS.BJORK","20172018","R","L",29,0.974322520505164
"49","ANDERS.LEE","20172018","R","C",82,7.3349705163535
"50","ANDERS.NILSSON","20172018","R","G",27,4.64019205572315
"51","ANDREAS.ATHANASIOU","20172018","R","C",70,5.25178446856907
"52","ANDREAS.BORGMAN","20172018","R","D",47,0.102012900500772
"53","ANDREAS.ENGLUND","20172018","R","D",1,2.56119750813899e-05
"54","ANDREAS.JOHNSSON","20172018","R","L",9,0.388237838042177
"55","ANDREAS.MARTINSEN","20172018","R","L",8,0.113528175243452
"56","ANDRE.BURAKOVSKY","20172018","R","L",56,2.5756155551967
"57","ANDREI.MIRONOV","20172018","R","D",10,0.00857299804421369
"58","ANDREI.VASILEVSKIY","20172018","R","G",65,18.4145805958263
"59","ANDREJ.SEKERA","20172018","R","D",36,0.0577360605440113
"60","ANDREJ.SUSTR","20172018","R","D",44,0.192932989879615
