"Player","Season","Team","Position","GP","TOI","GAR RF","GAR RA","GAR Rates","GAR QF","GAR QA","GAR Qual","GAR Shooting","GAR Goalie","GAR PT","GAR PD","GAR Pens","GAR DZF","GAR NZF","GAR OZF","GAR Zones","OGAR","DGAR","GAR","GAR/82","GAR/60"
"5EBASTIAN.AHO","2017-2018","NYI","F",22,357.4,0,0,0,-0.18,-0.04,-0.22,0,0,0.04,-0.14,-0.09,-0.36,0,-0.09,-0.45,-0.4,-0.4,-0.81,-2.97,-0.14
"AARON.EKBLAD","2017-2018","FLA","D",79,1848.73,0.99,-0.94,0.04,0.09,-0.5,-0.4,-0.86,0,0.22,-0.81,-0.58,0.04,0,0,0.04,-0.54,-1.22,-1.76,-1.8,-0.04
"ADAM.ERNE","2017-2018","T.B","F",23,232.73,0.14,0.4,0.54,0.04,-0.04,0,0,0,0,-0.09,-0.09,-0.14,0,-0.9,-1.04,-0.81,0.27,-0.58,-2.02,-0.14
"ADAM.HENRIQUE","2017-2018","N.J/ANA","F",79,1407.3,1.98,-0.45,1.57,0.36,-0.22,0.14,1.08,0,0.5,-0.58,-0.04,0.09,-0.04,-0.18,-0.14,2.65,-0.09,2.56,2.65,0.09
"ADAM.LARSSON","2017-2018","EDM","D",61,1331,0.04,-0.22,-0.22,0.04,-0.32,-0.27,-0.4,0,0.22,0,0.22,0.04,0,-0.14,-0.09,-0.4,-0.27,-0.72,-0.94,-0.04
"ADAM.LOWRY","2017-2018","WPG","F",43,641.88,1.08,3.92,4.95,0.14,-0.09,0.04,0,0,0.04,-0.14,-0.04,0.54,0,0.09,0.68,1.22,4.41,5.62,10.76,0.54
"ADAM.MCQUAID","2017-2018","BOS","D",35,555.78,0.27,-0.14,0.14,-0.68,-0.14,-0.81,-0.14,0,0.14,-0.4,-0.32,0.04,0,0.36,0.45,-0.58,-0.09,-0.68,-1.57,-0.09
"ADAM.PELECH","2017-2018","NYI","D",76,1464.82,0.45,-0.22,0.18,0.04,-0.4,-0.32,-0.45,0,0.32,-0.45,-0.14,-0.14,0,0,-0.14,-0.4,-0.5,-0.86,-0.94,-0.04
"ADRIAN.KEMPE","2017-2018","L.A","F",79,1054.27,0.5,-1.53,-1.04,0.27,-0.18,0.09,2.7,0,-1.8,-0.5,-2.29,0.04,0,0.14,0.18,3.06,-3.46,-0.36,-0.4,0
"ALAN.QUINE","2017-2018","NYI","F",21,246.45,-0.5,-0.58,-1.08,0.04,-0.04,0,0,0,0.04,-0.09,-0.09,0.5,0,0.36,0.86,-0.18,-0.09,-0.32,-1.17,-0.09
"ALEC.MARTINEZ","2017-2018","L.A","D",75,1712.6,-1.44,-1.35,-2.79,0.09,-0.4,-0.32,-0.45,0,0.36,-1.17,-0.81,-0.27,0,0,-0.27,-2.97,-1.71,-4.68,-5.13,-0.18
"ALEKSANDER.BARKOV","2017-2018","FLA","F",78,1726.7,5.76,0,5.76,0.5,-0.27,0.22,0,0,1.49,-0.45,1.04,0.14,-0.04,0,0.09,5.76,1.35,7.11,7.47,0.22
"ALEX.BIEGA","2017-2018","VAN","D",41,609.63,0.63,0.4,1.04,0.04,-0.14,-0.09,-1.3,0,-0.86,-0.09,-0.94,-0.58,0,0.04,-0.54,-0.72,-1.17,-1.89,-3.73,-0.18
"ALEX.BURMISTROV","2017-2018","VAN","F",23,278.1,0.14,-0.45,-0.32,-0.63,-0.04,-0.68,0,0,-0.14,-0.09,-0.22,-0.09,0.09,0.14,0.09,-0.45,-0.63,-1.12,-3.96,-0.22
"ALEX.BURROWS","2017-2018","OTT","F",69,802.27,-0.18,0.68,0.5,0.18,0.76,0.94,0,0,-0.04,-0.32,-0.36,-0.99,0.04,0,-0.99,-0.32,0.4,0.09,0.09,0
"ALEX.CHIASSON","2017-2018","WSH","F",59,702.87,0.32,-0.36,-0.04,0.14,-0.14,0,0,0,0.04,-0.81,-0.76,0.04,-0.14,-0.45,-0.5,-0.81,-0.5,-1.26,-1.8,-0.09
"ALEX.DEBRINCAT","2017-2018","CHI","F",80,1184.68,0.58,1.4,1.94,0.32,-1.84,-1.53,9.27,0,0.99,-0.5,0.5,0.22,0,0.27,0.45,9.9,0.72,10.62,10.89,0.54
"ALEX.EDLER","2017-2018","VAN","D",68,1650,3.6,-1.53,2.11,0.09,-0.4,-0.32,-0.68,0,-1.76,0.09,-1.66,-0.22,0.04,-0.45,-0.68,2.61,-3.82,-1.22,-1.49,-0.04
"ALEXEI.EMELIN","2017-2018","NSH","D",74,1253.25,-2.39,-0.76,-3.19,0.04,-0.32,-0.27,-0.27,0,0,-0.18,-0.14,-0.18,0,-0.27,-0.45,-3.06,-1.26,-4.32,-4.82,-0.22
"ALEX.GALCHENYUK","2017-2018","MTL","F",80,1295.32,1.94,-1.94,0,0.36,-0.18,0.18,0,0,0.14,-0.54,-0.4,0.04,0,0,0.04,1.8,-1.94,-0.18,-0.18,0
"ALEX.GOLIGOSKI","2017-2018","ARI","D",76,1765.27,0.94,-1.98,-1.04,0.09,-0.45,-0.36,1.71,0,0.58,-0.63,-0.04,-0.09,0.09,0.09,0.04,2.16,-1.89,0.27,0.32,0
"ALEX.IAFALLO","2017-2018","L.A","F",75,1132.77,0.54,2.16,2.75,0.27,-0.18,0.09,0,0,0.18,0.5,0.68,0.04,0,0,0.04,1.3,2.25,3.56,3.87,0.18
"ALEX.KERFOOT","2017-2018","COL","F",77,1034.62,0.5,0,0.5,0.27,-0.14,0.14,10.26,0,0.09,-0.4,-0.32,0.22,0,0,0.18,10.58,0.18,10.76,11.43,0.63
"ALEX.KILLORN","2017-2018","T.B","F",80,1319.6,2.56,4.54,7.11,0.36,-0.18,0.18,0,0,-0.18,-0.54,-0.72,0.22,-0.04,0.04,0.27,2.48,4.32,6.8,6.98,0.32
"ALEX.OVECHKIN","2017-2018","WSH","F",80,1608.78,11.74,-0.22,11.52,0.5,-1.49,-0.99,11.34,0,0.14,-0.4,-0.27,0.09,0,0,0.09,23.13,-1.44,21.69,22.23,0.81
"ALEX.PETROVIC","2017-2018","FLA","D",65,946.6,0.54,-0.14,0.36,0.04,-0.22,-0.18,-0.27,0,-0.14,-0.45,-0.58,0.04,0.09,0.04,0.14,-0.14,-0.4,-0.5,-0.63,-0.04
"ALEX.PIETRANGELO","2017-2018","STL","D",76,1958.58,1.04,0.54,1.57,-1.84,-0.45,-2.29,-0.9,0,1.35,0.54,1.89,0.09,0.04,0.18,0.32,-0.94,1.62,0.63,0.68,0
"ALEX.RADULOV","2017-2018","DAL","F",80,1606.5,5.08,2.48,7.6,0.5,-0.22,0.27,0,0,-2.34,0.27,-2.07,0.04,0,0,0.04,5.85,0,5.85,5.99,0.22
"ALEX.STEEN","2017-2018","STL","F",74,1381.95,2.56,0,2.61,-0.76,-0.18,-0.94,0,0,0.14,-0.27,-0.18,0.22,0,0,0.22,1.53,0.22,1.71,1.89,0.09
"ALEX.TUCH","2017-2018","VGK","F",76,1153.33,4.41,0,4.46,0.32,-0.14,0.18,0,0,0.09,-1.35,-1.26,0.5,0,0,0.5,3.42,0.45,3.87,4.19,0.18
"ALEX.WENNBERG","2017-2018","CBJ","F",65,1174.9,2.11,0,2.11,0.32,-0.18,0.18,0,0,0.4,-0.5,-0.04,0.4,0,0.5,0.9,2.48,0.68,3.15,3.96,0.18
"ANDERS.BJORK","2017-2018","BOS","F",30,370.42,-0.04,0,-0.04,-0.5,-0.04,-0.54,0,0,0.04,-0.14,-0.09,-0.14,0.04,0,-0.09,-0.68,-0.09,-0.76,-2.07,-0.14
"ANDERS.LEE","2017-2018","NYI","F",80,1378.62,2.07,-2.16,-0.09,0.4,-0.22,0.18,6.12,0,-0.18,-0.54,-0.76,-0.27,0,-0.09,-0.4,7.92,-2.88,5.04,5.17,0.22
"ANDREAS.ATHANASIOU","2017-2018","DET","F",68,1047.85,0.54,-0.04,0.5,0.27,-0.18,0.09,0,0,0.09,1.17,1.26,-0.04,0,-0.27,-0.27,1.71,-0.14,1.57,1.89,0.09
"ANDREAS.BORGMAN","2017-2018","TOR","D",48,657,-0.36,-0.14,-0.5,0.04,-0.18,-0.14,-0.22,0,-0.09,-0.36,-0.45,0.09,0,0.04,0.14,-0.9,-0.32,-1.17,-2.02,-0.09
"ANDRE.BURAKOVSKY","2017-2018","WSH","F",54,745.15,1.04,0.18,1.22,-1.57,-0.09,-1.66,0.32,0,0.09,-0.32,-0.22,0.45,0,0.09,0.54,-0.4,0.58,0.18,0.27,0
"ANDREJ.SEKERA","2017-2018","EDM","D",36,587.82,-0.54,-0.09,-0.63,0.04,-1.22,-1.17,-0.14,0,0.14,-0.27,-0.14,0.27,0,0,0.27,-0.9,-0.9,-1.8,-4.09,-0.18
